Age (ka),d18O (permil)
129,3.389944438
130,3.590743459
131,3.817548217
132,3.973411645
133,4.031970363
134,4.151130921
135,4.331052166
136,4.487087179
137,4.612534593
138,4.697435481
139,4.73712744
140,4.756002159
141,4.758446393
142,4.735816852
143,4.697398152
144,4.656933855
145,4.62311764
146,4.598399305
147,4.574627818
148,4.546111932
149,4.518091041
150,4.498801355
151,4.488381402
152,4.48543937
153,4.491613579
154,4.505291012
155,4.52182683
156,4.540886037
157,4.56078394
158,4.591826906
159,4.605039138
160,4.585058998
161,4.552916314
162,4.513852701
163,4.474668487
164,4.439618358
165,4.417823105
166,4.398196244
167,4.373871058
168,4.357049197
169,4.354134486
170,4.33074646
171,4.269190256
172,4.216373233
173,4.194586839
174,4.200882832
175,4.248014199
176,4.295595596
177,4.31202858
178,4.321297112
179,4.319838949
180,4.297071727
181,4.283087445
182,4.306819506
183,4.363209884
184,4.368000265
185,4.32750153
186,4.26320369
187,4.180627665
188,4.07901922
189,3.963693484
190,3.862631767
191,3.793538751
192,3.766497577
193,3.733854991
194,3.654413546
195,3.559249291
196,3.478142524
197,3.431501903
198,3.435934374
199,3.495545104
200,3.577655191
201,3.620968518
202,3.630453951
203,3.618033988
204,3.590536062
205,3.553352977
206,3.498738916
207,3.442148033
208,3.404210585
209,3.382768171
210,3.385237125
211,3.432324738
212,3.527146973
213,3.656807692
214,3.814149173
215,3.981607227
216,4.115483819
217,4.18965985
218,4.240435948
219,4.274075818
220,4.270271552
221,4.228224915
222,4.169716955
223,4.123334429
224,4.091558159
225,4.055824199
226,4.009493886
227,3.943968769
228,3.849368411
229,3.729774706
230,3.601079281
231,3.489670605
232,3.407069532
233,3.358963263
234,3.357618792
235,3.423390368
236,3.552289351
237,3.712503307
238,3.880752862
239,4.03867714
240,4.162481082
241,4.241865161
242,4.307850587
243,4.374817919
244,4.43292362
245,4.462912356
246,4.475894065
247,4.471239571
248,4.436608066
249,4.390727632
250,4.36397102
251,4.355250139
252,4.338465983
253,4.313876343
254,4.305901501
255,4.317049778
256,4.327023685
257,4.337953542
258,4.362010113
259,4.377193018
260,4.376151311
261,4.381000768
262,4.410731647
263,4.446570782
264,4.457511305
265,4.431853729
266,4.389346949
267,4.351420798
268,4.309263129
269,4.266739514
270,4.244896565
271,4.228356946
272,4.185887755
273,4.15760368
274,4.154317393
275,4.104308126
276,4.057218776
277,4.020238329
278,4.004528306
279,4.005555168
280,4.018437133
281,4.059171904
282,4.129436304
283,4.189124247
284,4.225187023
285,4.242984648
286,4.239194899
287,4.222148799
288,4.191260677
289,4.145615776
290,4.089714517
291,4.033484496
292,3.999310005
293,3.968993549
294,3.929131987
295,3.892946312
296,3.870285118
297,3.841570516
298,3.791623593
299,3.729619929
300,3.672405518
301,3.630056311
302,3.610640975
303,3.593653535
304,3.57858966
305,3.565683438
306,3.554497413
307,3.544655117
308,3.536207227
309,3.529847926
310,3.523105633
311,3.515301742
312,3.503978456
313,3.489172525
314,3.462968856
315,3.418058018
316,3.365835359
317,3.310849717
318,3.254273009
319,3.201576815
320,3.162596201
321,3.132672656
322,3.11060555
323,3.093179152
324,3.082166994
325,3.078427151
326,3.083733517
327,3.100316905
328,3.131174559
329,3.19055512
330,3.282321787
331,3.391343996
332,3.514796683
333,3.636492991
334,3.75336647
335,3.865055118
336,3.968569889
337,4.069921836
338,4.202251732
339,4.410966036
340,4.591832449
341,4.679832677
342,4.658536964
343,4.588018592
344,4.526860799
345,4.484460312
346,4.422693074
347,4.354671485
348,4.325885975
349,4.342770802
350,4.360886177
351,4.373086064
352,4.375107783
353,4.369334681
354,4.354516194
355,4.319343409
356,4.291512357
357,4.267874699
358,4.2390356
359,4.206094042
360,4.167620219
361,4.131100621
362,4.107547451
363,4.100134589
364,4.105532555
365,4.108554596
366,4.102401985
367,4.092788084
368,4.082252691
369,4.071024012
370,4.055910234
371,4.033127231
372,4.005611462
373,3.975101641
374,3.944663986
375,3.919444346
376,3.905769944
377,3.906201959
378,3.899542112
379,3.874424188
380,3.846318699
381,3.822756886
382,3.797325818
383,3.768673557
384,3.750142717
385,3.757259637
386,3.777501663
387,3.760255434
388,3.71321486
389,3.644816283
390,3.576356632
391,3.517365135
392,3.467152237
393,3.418714398
394,3.365606702
395,3.310997449
396,3.258143614
397,3.192896032
